trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
108,FALSE,"{'a': 0.01, 'e': 0.3395955256449391}",20,5,-23.00018598,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
109,FALSE,"{'a': 0.01, 'e': 0.33621649370673334}",25,16,0.249000335,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,FALSE,"{'a': 0.01, 'e': 0.33287108369807955}",30,11,-12.08319718,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
111,FALSE,"{'a': 0.01, 'e': 0.32955896107518906}",25,5,5.531556117,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
112,FALSE,"{'a': 0.01, 'e': 0.32627979462303947}",20,2,-3.788213672,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
113,FALSE,"{'a': 0.01, 'e': 0.3230332564222529}",20,0,-20.79029404,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
114,FALSE,"{'a': 0.01, 'e': 0.31981902181630384}",30,0,-21.69462743,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
115,FALSE,"{'a': 0.01, 'e': 0.31663676937905316}",20,7,-60.69349119,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
116,FALSE,"{'a': 0.01, 'e': 0.3134861808826053}",20,1,-73.91695473,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 2}",1
117,FALSE,"{'a': 0.01, 'e': 0.31036694126548503}",20,0,-5.219198359,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
118,FALSE,"{'a': 0.01, 'e': 0.30727873860113125}",20,0,-46.98442653,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
119,FALSE,"{'a': 0.01, 'e': 0.3042212640667041}",20,0,-24.59997452,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
120,FALSE,"{'a': 0.01, 'e': 0.30119421191220214}",30,0,-164.5901727,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
121,FALSE,"{'a': 0.01, 'e': 0.2981972794298874}",20,6,-3.672463502,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
122,FALSE,"{'a': 0.01, 'e': 0.2952301669240142}",20,5,-4.134707395,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
123,FALSE,"{'a': 0.01, 'e': 0.2922925776808594}",25,0,-84.60428324,"{0: 19, 1: 3, 2: 0, 3: 1, 4: 2}",0
124,FALSE,"{'a': 0.01, 'e': 0.2893842179390506}",30,0,-36.69035693,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
125,FALSE,"{'a': 0.01, 'e': 0.2865047968601901}",20,8,-6.971804113,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
126,FALSE,"{'a': 0.01, 'e': 0.2836540264997704}",25,6,20.34469127,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,FALSE,"{'a': 0.01, 'e': 0.2808316217783798}",35,13,3.866927689,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
128,FALSE,"{'a': 0.01, 'e': 0.27803730045319414}",20,0,2.413924458,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
129,FALSE,"{'a': 0.01, 'e': 0.27527078308975234}",25,18,2.980404874,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,FALSE,"{'a': 0.01, 'e': 0.2725317930340126}",20,9,1.3698097,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,FALSE,"{'a': 0.01, 'e': 0.2698200563846868}",25,0,2.279627023,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
132,FALSE,"{'a': 0.01, 'e': 0.26713530196585034}",25,8,-3.237043082,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
133,FALSE,"{'a': 0.01, 'e': 0.26447726129982396}",20,0,-8.371918951,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
134,FALSE,"{'a': 0.01, 'e': 0.261845668580326}",20,6,-3.06579044,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
135,FALSE,"{'a': 0.01, 'e': 0.2592402606458915}",30,19,21.27982824,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,FALSE,"{'a': 0.01, 'e': 0.2566607769535559}",35,25,13.71929167,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,FALSE,"{'a': 0.01, 'e': 0.25410695955280027}",20,12,13.24771533,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,FALSE,"{'a': 0.01, 'e': 0.25157855305975646}",20,7,7.566609909,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,FALSE,"{'a': 0.01, 'e': 0.24907530463166816}",20,14,13.48896581,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,FALSE,"{'a': 0.01, 'e': 0.24659696394160643}",20,2,18.82418118,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
141,FALSE,"{'a': 0.01, 'e': 0.2441432831534371}",20,0,-17.32202608,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
142,FALSE,"{'a': 0.01, 'e': 0.24171401689703645}",25,0,14.61133621,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
143,FALSE,"{'a': 0.01, 'e': 0.23930892224375455}",25,13,-43.36057768,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
144,FALSE,"{'a': 0.01, 'e': 0.23692775868212176}",20,0,2.207876357,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
145,FALSE,"{'a': 0.01, 'e': 0.23457028809379765}",20,6,14.27235663,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,FALSE,"{'a': 0.01, 'e': 0.23223627472975883}",20,12,1.443979436,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,FALSE,"{'a': 0.01, 'e': 0.22992548518672384}",20,0,3.564858864,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
148,FALSE,"{'a': 0.01, 'e': 0.22763768838381274}",35,3,-47.56437731,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 2}",1
149,FALSE,"{'a': 0.01, 'e': 0.22537265553943872}",20,0,7.763845212,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
150,FALSE,"{'a': 0.01, 'e': 0.22313016014842982}",20,13,13.29391933,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,FALSE,"{'a': 0.01, 'e': 0.2209099779593782}",25,10,-46.87056767,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
152,FALSE,"{'a': 0.01, 'e': 0.21871188695221475}",20,7,14.37321662,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,FALSE,"{'a': 0.01, 'e': 0.21653566731600707}",25,16,8.373365168,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
154,FALSE,"{'a': 0.01, 'e': 0.21438110142697794}",25,18,-6.642633262,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
155,FALSE,"{'a': 0.01, 'e': 0.21224797382674304}",20,0,7.332836387,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
156,FALSE,"{'a': 0.01, 'e': 0.21013607120076472}",20,0,14.10264827,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
157,FALSE,"{'a': 0.01, 'e': 0.20804518235702046}",25,17,8.392400542,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,FALSE,"{'a': 0.01, 'e': 0.20597509820488344}",25,12,-27.31074854,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
159,FALSE,"{'a': 0.01, 'e': 0.20392561173421342}",20,12,13.14624564,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,FALSE,"{'a': 0.01, 'e': 0.20189651799465538}",20,13,-31.98156322,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
161,FALSE,"{'a': 0.01, 'e': 0.1998876140751445}",25,0,-16.26870268,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
162,FALSE,"{'a': 0.01, 'e': 0.19789869908361465}",25,6,-2.220724988,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 0}",1
163,FALSE,"{'a': 0.01, 'e': 0.19592957412690934}",25,12,18.09456881,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,FALSE,"{'a': 0.01, 'e': 0.19398004229089189}",20,0,20.83513992,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
165,FALSE,"{'a': 0.01, 'e': 0.19204990862075408}",20,0,-24.58176544,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
